KEGG_STEROID_HORMONE_BIOSYNTHESIS	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_STEROID_HORMONE_BIOSYNTHESIS	SRD5A3	AKR1C4	CYP3A5	HSD3B2	UGT2B28	HSD3B1	COMT	SULT2B1	CYP3A4	CYP7A1	CYP11A1	AKR1C3	HSD11B2	SULT1E1	HSD11B1	HSD17B2	HSD17B3	CYP21A2	HSD17B1	CYP19A1	CYP17A1	CYP11B2	CYP11B1	HSD17B6	HSD17B7	UGT2B11	UGT2A3	UGT1A4	CYP3A7	UGT1A1	UGT1A3	UGT1A10	UGT1A8	UGT1A7	UGT1A6	UGT1A5	HSD17B8	AKR1C2	AKR1C1	CYP1A1	CYP1B1	STS	UGT2A1	SRD5A2	SRD5A1	CYP3A43	CYP7B1	UGT1A9	AKR1D1	HSD17B12	UGT2B10	UGT2B7	UGT2B4	UGT2B17	UGT2B15																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
KEGG_OXIDATIVE_PHOSPHORYLATION	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_OXIDATIVE_PHOSPHORYLATION	ATP6V1G1	UQCR10	NDUFA5	NDUFA4	COX6CP3	PPA2	ATP5J2	NDUFS7	CYTB	ATP6V0A1	ATP6V1G2	ATP6V0B	ATP5O	COX2	COX1	ATP6AP1	COX8C	COX3	COX5B	COX4I1	ATP6V0A4	ATP12A	ATP6	ATP8	ATP5H	NDUFA2	NDUFA3	NDUFA1	LOC100133737	ATP5G1P5	UQCRQ	ATP6V1H	ATP5D	LHPP	ATP6V0D2	COX7A2L	ATP5G3	ATP6V1C2	ATP5G2	ATP5G1	ATP5F1	ATP5E	COX5A	TCIRG1	UQCRHL	ATP4B	ATP6V1D	ATP4A	ATP5A1	ATP5J	ATP5I	SDHA	ATP6V1A	ATP6V1E1	NDUFA4L2	ATP6V1B2	ATP6V1B1	ATP6V1C1	ATP6V0C	COX10	COX8A	COX7C	LOC642502	SDHD	SDHB	SDHC	ATP6V1G3	COX7B	COX7A1	COX7A2	COX6C	COX17	ATP5B	COX6B1	ATP5C1	LOC644310	ATP6V1F	COX7B2	ATP6V0A2	UQCRB	ATP6V0D1	COX6A2	COX6A1	UQCRH	UQCRFS1	UQCRC2	UQCRC1	NDUFB3	NDUFB1	NDUFB2	NDUFA10	NDUFAB1	ATP6V0E2	ND6	NDUFA9	ND5	NDUFA7	NDUFA8	UQCR11	NDUFA6	NDUFV3	ATP6V1E2	ND4	ND4L	LOC727947	ND2	COX6B2	PPA1	ND3	COX4I2	ND1	ATP5L	ATP6V0E1	NDUFA11	NDUFB10	NDUFS8	NDUFC1	NDUFC2	NDUFS1	NDUFV2	NDUFB6	NDUFS4	NDUFB7	NDUFV1	NDUFB8	NDUFS6	NDUFB9	NDUFS5	NDUFS2	NDUFB4	NDUFS3	NDUFB5	CYC1	COX11	COX15																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
KEGG_PURINE_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_PURINE_METABOLISM	POLR2G	NT5C2	POLR2H	ENPP3	POLR2E	POLR2F	ENPP1	XDH	POLR2I	POLR2J	POLE3	ADSS	PRPS2	ADSL	NME6	POLR1D	PNPT1	POLR2K	PDE11A	POLD3	POLR2L	AK1	NME1-NME2	AK2	AK4	POLA2	CANT1	AMPD1	AMPD3	AMPD2	NME4	GUCY2D	NME1	ATIC	NME2	DGUOK	POLR3C	NME3	POLR3G	POLR3F	PRUNE	C17orf48	PDE4B	PDE4C	PDE3B	PDE4A	NUDT2	GMPR2	PDE6C	PDE6D	PDE4D	PDE6A	PRIM1	PRIM2	AK5	GMPR	NME5	PDE7B	PDE5A	POLD4	GUCY1A2	FHIT	ADCY3	ADCY2	ADCY1	POLA1	PDE3A	PDE2A	PDE1C	ADSSL1	ADA	ENTPD8	POLE2	PDE8A	PDE9A	PDE1B	NUDT9	POLD1	GDA	POLD2	POLE	PDE6B	PDE7A	PRPS1	POLR1E	PAICS	NT5C1A	POLR2B	POLR3A	PDE6H	POLR2A	PDE6G	POLR2D	DCK	POLR2C	ADCY8	ADCY9	ADCY6	AK7	ADCY7	ADCY5	GMPS	ADCY10	POLR3K	POLR1B	PNP	RRM2B	PDE1A	POLR2J2	HPRT1	GART	PAPSS1	PAPSS2	NT5M	ADCY4	IMPDH1	IMPDH2	POLR3H	POLR2J3	POLR1A	POLR3B	GUCY1B3	PKLR	GUCY2C	ENTPD4	PKM2	GUCY1A3	GUK1	GUCY2F	ADK	ITPA	POLR1C	PRHOXNB	POLE4	RRM1	POLR3D	RRM2	NT5C3	PDE8B	POLR3GL	NT5E	NPR2	NPR1	PDE10A	ENTPD6	ENTPD2	ENTPD5	ENTPD3	NUDT5	ENTPD1	PFAS	NT5C1B	APRT	PRPS1L1	PPAT	NME7	NT5C	ALLC	ZNRD1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
KEGG_PYRIMIDINE_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_PYRIMIDINE_METABOLISM	NT5C2	POLR2G	POLR2H	POLR2E	POLR2F	POLR2I	POLR2J	POLE3	TYMS	TXNRD1	NME6	POLR1D	PNPT1	POLR2K	DHODH	POLD3	POLR2L	NME1-NME2	POLA2	UPRT	CANT1	NME4	NME1	NME2	NME3	POLR3C	POLR3G	POLR3F	NUDT2	PRIM1	PRIM2	NME5	POLD4	DTYMK	CTPS	POLA1	ENTPD8	POLE2	POLD1	POLD2	POLE	CAD	CMPK2	POLR1E	NT5C1A	POLR3A	DCTD	POLR2B	POLR2A	DCK	POLR2D	POLR2C	UCK1	UPB1	TXNRD2	CMPK1	POLR3K	RRM2B	PNP	POLR1B	UPP2	CTPS2	POLR2J2	CDA	NT5M	DUT	POLR3H	UCKL1	POLR2J3	POLR1A	POLR3B	ENTPD4	ITPA	POLR1C	POLE4	RRM1	RRM2	POLR3D	NT5C3	DPYS	DPYD	TYMP	UMPS	UCK2	POLR3GL	TK1	NT5E	TK2	UPP1	ENTPD6	ENTPD5	ENTPD3	ENTPD1	NT5C1B	NT5C	NME7	AK3	ZNRD1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	GLUD2	GFPT2	AGXT2	CPS1	GLS2	ABAT	ADSS	ADSL	GLUD1	GLS	ASL	IL4I1	GPT	GFPT1	GPT2	DDO	ADSSL1	ACY3	GAD1	GAD2	GOT2	AGXT	GLUL	NIT2	GOT1	ALDH4A1	CAD	ALDH5A1	ASS1	ASNS	PPAT	ASPA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	ALAS1	ALAS2	GLYCTK	MAOB	AGXT2	MAOA	AOC2	GATM	SDS	AOC3	GNMT	SHMT1	GCAT	PHGDH	DMGDH	SHMT2	SRR	PSAT1	BHMT	GLDC	DLD	GAMT	PSPH	AGXT	SARDH	AMT	CHDH	CBS	CTH	PIPOX	DAO																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	AMD1	SRM	ADI1	AHCY	DNMT1	SDS	TRDMT1	DNMT3A	DNMT3B	LDHC	IL4I1	SMS	LDHB	ENOPH1	BHMT	GOT2	CDO1	APIP	GOT1	LDHAL6B	TAT	AHCYL1	MTAP	MAT2B	LDHA	MTR	CBS	MAT1A	AHCYL2	CTH	MAT2A	MPST	LDHAL6A	DNMT3L																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	AOX1	ALDH1B1	ACADS	ACADSB	ABAT	ALDH2	ACADM	ACAT2	HSD17B10	ACAT1	OXCT1	ACAA2	IL4I1	HADH	MCEE	HADHB	DBT	HADHA	ALDH6A1	HMGCL	IVD	BCKDHB	ACAD8	ECHS1	ALDH9A1	ALDH3A2	PCCB	HIBCH	DLD	HMGCS2	EHHADH	HMGCS1	PCCA	ALDH7A1	HIBADH	ACAA1	OXCT2	MUT	MCCC2	BCAT1	AUH	BCAT2	BCKDHA	MCCC1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	PDHB	VARS2	IARS2	PDHA1	PDHA2	LARS	LARS2	VARS	BCAT1	BCAT2	IARS																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
KEGG_LYSINE_DEGRADATION	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_LYSINE_DEGRADATION	SUV39H2	AASDHPPT	DLST	ALDH1B1	AASDH	ALDH2	ACAT2	PLOD2	PLOD1	TMLHE	EHMT2	ACAT1	SETD8	HADH	SETMAR	OGDH	HADHA	BBOX1	AASS	ECHS1	ALDH9A1	ALDH3A2	SUV420H1	SUV39H1	ASH1L	SETD1B	DOT1L	WHSC1	EHHADH	OGDHL	SETD1A	GCDH	SUV420H2	SETD7	ALDH7A1	WHSC1L1	EHMT1	SETDB1	AADAT	SETD2	SETDB2	PLOD3	NSD1	PIPOX																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
KEGG_ARGININE_AND_PROLINE_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_ARGININE_AND_PROLINE_METABOLISM	SRM	ADC	GLUD2	GLS2	ARG1	ARG2	GLUD1	GLS	ASL	CKMT1A	P4HA2	SMS	CKB	NOS3	NOS2	NOS1	GOT2	GLUL	P4HA1	ABP1	ALDH7A1	LAP3	AGMAT	GOT1	PYCR1	ASS1	ALDH18A1	SAT1	NAGS	DAO	AMD1	MAOB	MAOA	CPS1	P4HA3	ALDH1B1	GATM	ALDH2	OTC	PRODH2	OAT	CKM	ACY1	SAT2	ALDH9A1	ALDH3A2	CKMT1B	PYCRL	GAMT	PRODH	ALDH4A1	CKMT2	PYCR2	ODC1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
KEGG_HISTIDINE_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_HISTIDINE_METABOLISM	CNDP1	MAOB	MAOA	ALDH1B1	ALDH2	METTL6	ALDH3A1	WBSCR22	HAL	HNMT	DDC	ACY3	ALDH1A3	METTL2B	ALDH3B1	ALDH3B2	ALDH9A1	ALDH3A2	HEMK1	LCMT2	UROC1	TRMT11	ABP1	ALDH7A1	FTCD	AMDHD1	ASPA	LCMT1	HDC																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
KEGG_TYROSINE_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_TYROSINE_METABOLISM	MAOB	MAOA	HPD	AOX1	AOC2	TYR	HGD	METTL6	ALDH3A1	COMT	AOC3	WBSCR22	IL4I1	GSTZ1	DDC	ADH7	DBH	ADH6	METTL2B	ADH1B	ALDH1A3	ADH1C	ALDH3B1	ADH4	ALDH3B2	ADH5	HEMK1	ADH1A	GOT2	LCMT2	TRMT11	GOT1	TYRP1	TAT	MIF	NAT6	PNMT	DCT	LCMT1	TPO	TH	FAH																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
KEGG_PHENYLALANINE_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_PHENYLALANINE_METABOLISM	ALDH1A3	ALDH3B1	ALDH3B2	MAOB	MAOA	HPD	GOT2	AOC2	ALDH3A1	AOC3	PAH	GOT1	PRDX6	TAT	MIF	NAT6	IL4I1	DDC																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
KEGG_TRYPTOPHAN_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_TRYPTOPHAN_METABOLISM	MAOB	MAOA	IDO2	AOX1	ALDH1B1	AANAT	ALDH2	WARS	IDO1	CAT	ACAT2	ACAT1	IL4I1	HADH	OGDH	TPH1	HADHA	DDC	AFMID	CYP1A1	CYP1A2	CYP1B1	ASMT	ECHS1	ALDH9A1	KMO	ALDH3A2	WARS2	EHHADH	OGDHL	GCDH	ALDH7A1	ABP1	INMT	TDO2	HAAO	KYNU	AADAT	TPH2	ACMSD																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
KEGG_BETA_ALANINE_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_BETA_ALANINE_METABOLISM	CNDP1	SRM	ECHS1	ALDH9A1	ALDH3A2	GAD1	GAD2	AOC2	ALDH1B1	HIBCH	ABAT	EHHADH	ALDH2	ACADM	UPB1	ALDH7A1	AOC3	DPYS	DPYD	MLYCD	HADHA	SMS																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	GGT7	CSAD	GGT5	GGT1	GAD1	BAAT	GAD2	GGT6	CDO1	ADO																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
KEGG_SELENOAMINO_ACID_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_SELENOAMINO_ACID_METABOLISM	METTL6	AHCY	WBSCR22	SEPHS1	GGT1	SEPHS2	METTL2B	HEMK1	GGT6	LCMT2	PAPSS1	PAPSS2	TRMT11	MARS2	SCLY	AHCYL1	GGT7	GGT5	MAT2B	MAT1A	LCMT1	CBS	AHCYL2	CTH	MAT2A	MARS																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
KEGG_GLUTATHIONE_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_GLUTATHIONE_METABOLISM	SRM	GGT1	GSTP1	GSTT2	GSTT1	GSTZ1	RRM2B	SMS	PGD	GSTO1	GSTA5	MGST2	LAP3	MGST1	MGST3	GSTA3	GSTM1	GPX7	GSTA4	GPX6	GSTM4	GGCT	GSTM3	GSTM2	GSTM5	GSTA1	GSTA2	GSR	GSS	RRM1	RRM2	GCLC	GSTK1	GPX5	TXNDC12	GPX1	GPX2	GPX3	IDH2	GPX4	IDH1	OPLAH	GCLM	GGT6	ANPEP	GGT7	GSTO2	GGT5	G6PD	ODC1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
KEGG_STARCH_AND_SUCROSE_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_STARCH_AND_SUCROSE_METABOLISM	ENPP3	GCK	ENPP1	AMY2B	UGT2B28	PGM2	UXS1	UGDH	MGAM	GYS1	GYS2	HK2	HK3	HK1	GBA3	GUSB	TREH	AMY1A	AMY1B	AMY1C	AMY2A	UGT2B11	PYGB	PYGM	PYGL	UGT2A3	UGT1A4	UGT1A1	UGT1A3	UGT1A10	UGT1A8	UGT1A7	UGT1A6	PGM2L1	AGL	UGT1A5	SI	UGT2A1	GBE1	UGT1A9	G6PC2	GANC	G6PC	UGP2	PGM1	UGT2B10	UGT2B7	UGT2B4	GAA	GPI	UGT2B17	UGT2B15																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
KEGG_N_GLYCAN_BIOSYNTHESIS	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_N_GLYCAN_BIOSYNTHESIS	ALG13	DOLPP1	RPN1	ALG14	MAN1B1	ALG3	B4GALT1	MGAT5	RPN2	STT3A	MGAT3	DAD1	MGAT2	ALG12	TUSC3	MAN1C1	DPM2	DPM1	GANAB	ALG1	MGAT4A	ALG10B	STT3B	MAN1A2	ALG10	ALG11	ALG8	ALG2	DPAGT1	RFT1	DPM3	DDOST	MGAT4B	ALG6	MAN2A2	MAN1A1	MAN2A1	ST6GAL1	B4GALT3	ALG5	B4GALT2	MGAT5B	ALG9	MOGS	FUT8	MGAT1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
KEGG_OTHER_GLYCAN_DEGRADATION	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_OTHER_GLYCAN_DEGRADATION	ENGASE	GLB1	MANBA	MAN2B1	GBA	NEU4	NEU2	NEU1	FUCA1	FUCA2	AGA	MAN2C1	MAN2B2	NEU3	HEXB	HEXA																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
KEGG_O_GLYCAN_BIOSYNTHESIS	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_O_GLYCAN_BIOSYNTHESIS	GALNT4	GALNTL2	GALNTL5	GALNT6	GALNT5	GALNTL1	GALNTL6	GALNT13	GCNT3	GALNT10	ST6GALNAC1	GALNT9	GALNT7	GCNT4	GALNT11	GCNT1	GALNT8	GALNT14	B3GNT6	C1GALT1	GALNTL4	GALNT12	GALNT2	GALNT3	WBSCR17	GALNT1	ST3GAL2	ST3GAL1	B4GALT5	C1GALT1C1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	MPI	GCK	GFPT2	GALK1	GALE	PMM2	PGM2	PMM1	AMDHD2	GNPDA2	GMDS	UXS1	GNPNAT1	NANS	UGDH	CYB5R3	GFPT1	FUK	NANP	CYB5R1	FPGT	HEXB	HEXA	HK2	HK1	HK3	GALT	GNE	NAGK	CHIT1	UAP1	RENBP	CHIA	NPL	UGP2	GALK2	TSTA3	PGM1	CMAS	PGM3	GNPDA1	GMPPA	GPI	GMPPB																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
